"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.23,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",77.04,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",961.72,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",240.37,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",2.76,"provisorisch"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",2.89,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","T","h1","°C",5.09,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",91.81,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","p","h1","hPa",964.26,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","WD","h1","°",56.5,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.01,"provisorisch"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.91,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","T","h1","°C",4.88,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",81.66,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",961.98,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","WD","h1","°",222.41,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.76,"provisorisch"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.8,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",5.2,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",76.11,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",961.63,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",243,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",1.53,"provisorisch"
"2024-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.7,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","T","h1","°C",5.12,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",90.1,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","p","h1","hPa",964.15,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","WD","h1","°",137.42,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.32,"provisorisch"
"2024-01-01T01:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.8,"provisorisch"
"2024-01-01T01:00+0100","Zch_Rosengartenstrasse","T","h1","°C",4.66,"provisorisch"
"2024-01-01T01:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",82.02,"provisorisch"
